customer_id,login_count,calculator_use_count_30d,calculator_use_count_total,product_page_view_count_30d,product_page_view_count_total,customer_care_chat_count,sms_click_count,preferred_product,product_view_concentration,days_since_last_intent_event,avg_session_duration,age,occupation_type,city_tier,existing_loan_count,residence_type,relationship_tenure_years,bureau_score_proxy
CUST000001,74,6,6,7,7,1,1,personal,1.0,4,184.46067415730337,37,salaried,metro,0,rented,0.5,645
CUST000002,107,8,8,13,13,0,0,home,1.0,1,187.3984375,26,salaried,metro,1,owned,5.4,733
CUST000003,67,1,1,2,2,0,0,personal,1.0,4,152.38571428571427,41,salaried,metro,0,owned,1.6,692
CUST000004,91,2,2,2,2,1,1,mortgage,1.0,8,181.49484536082474,42,salaried,metro,0,owned,0.2,690
CUST000005,78,1,1,2,2,0,0,home,1.0,16,177.01234567901236,21,salaried,metro,1,rented,2.4,557
CUST000006,106,2,2,5,5,1,0,personal,1.0,1,166.18421052631578,24,salaried,metro,1,owned,0.6,640
CUST000007,84,8,8,5,5,0,0,personal,1.0,2,178.2680412371134,36,salaried,tier3,0,owned,3.0,712
CUST000008,91,7,7,11,11,1,1,home,1.0,4,173.74774774774775,32,business_owner,metro,1,rented,2.8,730
CUST000009,114,8,8,8,8,2,3,home,1.0,999,176.5037037037037,34,business_owner,metro,0,rented,6.6,759
CUST000010,82,2,2,5,5,2,1,mortgage,1.0,999,182.81521739130434,28,salaried,tier3,1,owned,13.5,613
CUST000011,81,4,4,2,2,0,0,personal,1.0,999,186.66666666666666,42,salaried,metro,0,rented,2.5,687
CUST000012,66,1,1,0,0,0,1,personal,1.0,2,178.44117647058823,41,salaried,tier2,0,owned,0.4,620
CUST000013,78,5,5,5,5,1,1,home,1.0,999,178.64444444444445,35,salaried,tier3,0,rented,2.0,778
CUST000014,70,0,0,2,2,0,1,personal,1.0,999,145.2876712328767,44,business_owner,tier2,0,owned,1.4,651
CUST000015,100,8,8,4,4,2,0,personal,1.0,3,176.80701754385964,38,salaried,metro,2,owned,2.0,602
CUST000016,73,2,2,0,0,0,0,mortgage,1.0,25,158.84,28,salaried,tier2,0,owned,0.9,685
CUST000017,80,12,12,14,14,2,2,mortgage,1.0,1,197.92727272727274,37,salaried,tier2,1,owned,3.7,454
CUST000018,85,3,3,7,7,3,2,mortgage,1.0,6,180.98,27,salaried,metro,0,owned,5.2,678
CUST000019,74,2,2,4,4,1,0,home,1.0,999,181.49382716049382,42,self_employed,metro,1,owned,2.4,602
CUST000020,71,3,3,1,1,2,2,mortgage,1.0,7,168.56962025316454,34,self_employed,metro,0,owned,0.3,900
CUST000021,90,17,17,18,18,2,3,mortgage,1.0,2,211.05384615384617,33,salaried,tier3,0,owned,4.5,599
CUST000022,65,7,7,9,9,1,1,auto,1.0,1,188.0843373493976,29,salaried,metro,1,owned,4.1,655
CUST000023,89,2,2,1,1,0,0,home,1.0,9,157.59782608695653,44,business_owner,metro,1,owned,1.2,746
CUST000024,65,6,6,2,2,0,0,home,1.0,5,165.17808219178082,33,salaried,tier2,0,rented,4.8,725
CUST000025,92,8,8,9,9,2,1,mortgage,1.0,1,164.60714285714286,31,self_employed,tier3,0,rented,3.9,748
CUST000026,73,2,2,1,1,0,0,home,1.0,3,140.01315789473685,32,business_owner,metro,0,rented,0.3,654
CUST000027,91,1,1,0,0,0,0,personal,1.0,8,162.43478260869566,39,salaried,metro,1,owned,2.4,576
CUST000028,107,1,1,4,4,0,0,home,1.0,12,155.33928571428572,37,business_owner,tier2,0,owned,1.1,900
CUST000029,88,3,3,4,4,2,2,mortgage,1.0,5,179.12121212121212,38,salaried,tier2,0,owned,4.5,701
CUST000030,81,8,8,10,10,0,0,auto,1.0,2,188.14141414141415,38,self_employed,tier2,0,owned,14.2,675
CUST000031,78,1,1,2,2,0,0,auto,1.0,14,164.02469135802468,52,salaried,tier3,1,owned,3.0,752
CUST000032,89,7,7,8,8,2,2,personal,1.0,999,175.35185185185185,31,salaried,metro,1,rented,1.8,537
CUST000033,68,0,0,2,2,1,0,home,1.0,5,162.7887323943662,30,salaried,metro,0,rented,1.0,613
CUST000034,89,8,8,10,10,0,2,personal,1.0,999,185.77981651376146,28,salaried,metro,2,owned,0.3,586
CUST000035,80,2,2,2,2,0,0,mortgage,1.0,2,174.72619047619048,39,salaried,metro,0,owned,6.5,645
CUST000036,87,7,7,5,5,2,1,home,1.0,1,184.91176470588235,44,salaried,tier2,0,owned,2.0,555
CUST000037,90,5,5,2,2,2,1,home,1.0,9,161.45,34,salaried,tier3,0,rented,1.8,715
CUST000038,73,9,9,7,7,2,1,home,1.0,2,187.82608695652175,28,salaried,metro,1,rented,7.8,761
CUST000039,94,11,11,12,12,2,1,personal,1.0,999,176.875,28,salaried,tier2,0,owned,3.9,733
CUST000040,80,7,7,9,9,2,2,home,1.0,1,184.41,40,business_owner,metro,0,owned,0.6,719
CUST000041,87,2,2,2,2,3,2,auto,1.0,5,178.03125,40,business_owner,tier2,1,rented,1.1,672
CUST000042,76,4,4,5,5,2,4,mortgage,1.0,4,171.16483516483515,39,salaried,metro,1,owned,8.6,617
CUST000043,74,3,3,3,3,0,3,mortgage,1.0,2,150.97590361445782,29,salaried,tier2,0,rented,5.3,720
CUST000044,69,6,6,3,3,0,0,auto,1.0,999,188.24358974358975,36,self_employed,metro,1,owned,3.4,670
CUST000045,74,0,0,3,3,1,0,personal,1.0,19,155.82051282051282,35,self_employed,tier3,1,owned,1.1,511
CUST000046,74,0,0,1,1,0,1,mortgage,1.0,6,164.02631578947367,36,salaried,tier3,1,owned,0.6,624
CUST000047,91,5,5,5,5,2,0,personal,1.0,2,177.71844660194174,41,self_employed,tier3,0,rented,0.1,726
CUST000048,76,3,3,3,3,0,0,auto,1.0,7,174.6951219512195,36,salaried,tier3,0,owned,2.6,528
CUST000049,84,5,5,8,8,0,1,personal,1.0,1,189.89795918367346,40,salaried,metro,2,owned,1.7,551
CUST000050,86,6,6,10,10,0,0,auto,1.0,1,191.2058823529412,35,self_employed,tier2,0,owned,0.8,637
CUST000051,70,2,2,4,4,3,1,home,1.0,999,184.6375,37,self_employed,metro,0,rented,6.5,459
CUST000052,96,4,4,10,10,1,2,home,1.0,999,195.20353982300884,40,self_employed,tier3,1,owned,1.1,720
CUST000053,87,5,5,3,3,1,0,home,1.0,999,164.0625,23,salaried,metro,1,rented,4.0,712
CUST000054,71,6,6,4,4,0,2,home,1.0,3,165.79518072289156,32,salaried,metro,1,rented,1.4,765
CUST000055,72,4,4,5,5,2,1,mortgage,1.0,999,173.63095238095238,31,salaried,tier2,1,owned,0.5,674
CUST000056,73,4,4,3,3,0,1,auto,1.0,3,173.74074074074073,29,salaried,metro,1,rented,0.3,603
