customer_id,occupation_type,declared_monthly_income,estimated_monthly_income
CUST000001,salaried,99333.33333333333,94420.82
CUST000002,salaried,61833.333333333336,64101.105
CUST000003,salaried,91916.66666666667,93287.1
CUST000004,salaried,124500.0,125296.37
CUST000005,salaried,71750.0,67317.57
CUST000006,salaried,38333.333333333336,39862.64
CUST000007,salaried,68916.66666666667,73096.87
CUST000008,business_owner,66583.33333333333,82972.78
CUST000009,business_owner,36166.666666666664,73616.26
CUST000010,salaried,28916.666666666668,28604.863
CUST000011,salaried,106333.33333333333,110431.375
CUST000012,salaried,135500.0,132327.72
CUST000013,salaried,37000.0,36992.88
CUST000014,business_owner,48166.666666666664,45657.406
CUST000015,salaried,39250.0,43980.53
CUST000016,salaried,34000.0,36702.297
CUST000017,salaried,33833.333333333336,31765.004
CUST000018,salaried,73750.0,77167.36
CUST000019,self_employed,41166.666666666664,53708.3
CUST000020,self_employed,35833.333333333336,87716.14
CUST000021,salaried,26166.666666666668,25486.422
CUST000022,salaried,66416.66666666667,68686.83
CUST000023,business_owner,38250.0,44267.434
CUST000024,salaried,57000.0,56385.547
CUST000025,self_employed,6500.0,16136.434
CUST000026,business_owner,48250.0,66621.52
CUST000027,salaried,63583.333333333336,64657.066
CUST000028,business_owner,48916.666666666664,49616.707
CUST000029,salaried,25500.0,23737.646
CUST000030,self_employed,50666.666666666664,64656.574
CUST000031,salaried,32250.0,33819.793
CUST000032,salaried,79166.66666666667,79698.12
CUST000033,salaried,31750.0,30833.822
CUST000034,salaried,40000.0,40770.37
CUST000035,salaried,58916.666666666664,59673.49
CUST000036,salaried,89083.33333333333,93263.43
CUST000037,salaried,41916.666666666664,48936.676
CUST000038,salaried,75083.33333333333,74999.87
CUST000039,salaried,34250.0,34910.875
CUST000040,business_owner,15333.333333333334,38707.492
CUST000041,business_owner,63000.0,51476.29
CUST000042,salaried,93750.0,94278.19
CUST000043,salaried,59166.666666666664,57428.93
CUST000044,self_employed,118750.0,136479.52
CUST000045,self_employed,33166.666666666664,21651.633
CUST000046,salaried,43000.0,42531.527
CUST000047,self_employed,18500.0,16140.037
CUST000048,salaried,44750.0,40141.203
CUST000049,salaried,151583.33333333334,146485.69
CUST000050,self_employed,25583.333333333332,27520.537
CUST000051,self_employed,36916.666666666664,108237.945
CUST000052,self_employed,45083.333333333336,63568.047
CUST000053,salaried,52333.333333333336,54933.4
CUST000054,salaried,78250.0,86679.27
CUST000055,salaried,103333.33333333333,104060.336
CUST000056,salaried,77666.66666666667,80049.04
CUST000057,salaried,79000.0,74190.984
CUST000058,salaried,32333.333333333332,32719.443
CUST000059,salaried,66000.0,65987.5
CUST000060,self_employed,72083.33333333333,42289.965
CUST000061,salaried,28833.333333333332,29083.283
CUST000062,salaried,46916.666666666664,47119.863
CUST000063,self_employed,95916.66666666667,80297.06
CUST000064,salaried,63750.0,61820.633
CUST000065,business_owner,61583.333333333336,113691.22
CUST000066,salaried,51583.333333333336,59642.676
CUST000067,salaried,76500.0,74419.32
CUST000068,business_owner,36666.666666666664,55987.824
CUST000069,salaried,83166.66666666667,81892.3
CUST000070,self_employed,19416.666666666668,48795.707
CUST000071,self_employed,57333.333333333336,80192.61
CUST000072,salaried,62083.333333333336,61572.055
CUST000073,self_employed,76250.0,68995.72
CUST000074,business_owner,90583.33333333333,89392.19
CUST000075,business_owner,40000.0,43763.996
CUST000076,salaried,75833.33333333333,75501.48
CUST000077,salaried,64583.333333333336,65948.3
CUST000078,self_employed,18416.666666666668,19942.973
CUST000079,salaried,41083.333333333336,42564.625
CUST000080,salaried,103416.66666666667,107578.484
CUST000081,salaried,39666.666666666664,41873.21
CUST000082,salaried,52000.0,51827.6
CUST000083,salaried,39916.666666666664,39548.824
CUST000084,salaried,58583.333333333336,64096.62
CUST000085,salaried,46166.666666666664,48054.145
CUST000086,salaried,95750.0,93284.5
CUST000087,business_owner,52416.666666666664,43844.832
CUST000088,salaried,59083.333333333336,59776.41
CUST000089,salaried,50916.666666666664,53037.64
CUST000090,salaried,163916.66666666666,165072.78
CUST000091,salaried,47416.666666666664,47613.734
CUST000092,business_owner,38166.666666666664,49847.016
CUST000093,business_owner,16916.666666666668,15451.365
CUST000094,salaried,33666.666666666664,35026.984
CUST000095,salaried,63833.333333333336,65823.26
CUST000096,salaried,61833.333333333336,63732.56
CUST000097,salaried,56416.666666666664,53735.258
CUST000098,salaried,51833.333333333336,53650.176
CUST000099,salaried,119916.66666666667,120898.86
CUST000100,salaried,141833.33333333334,138277.1
CUST000101,salaried,91250.0,86512.15
CUST000102,salaried,106583.33333333333,102823.0
CUST000103,salaried,115833.33333333333,113858.164
CUST000104,salaried,138750.0,137490.67
CUST000105,salaried,43000.0,44388.676
CUST000106,salaried,34250.0,35232.99
CUST000107,salaried,169416.66666666666,169278.83
CUST000108,salaried,47666.666666666664,48187.26
CUST000109,salaried,47166.666666666664,45156.395
CUST000110,self_employed,17750.0,27496.49
CUST000111,business_owner,31333.333333333332,31634.498
CUST000112,salaried,29833.333333333332,30198.47
CUST000113,salaried,34250.0,37790.53
CUST000114,self_employed,32333.333333333332,26133.633
CUST000115,self_employed,14750.0,35932.527
CUST000116,salaried,64333.333333333336,61287.293
CUST000117,salaried,70833.33333333333,73552.53
CUST000118,salaried,91500.0,92911.51
CUST000119,salaried,62833.333333333336,62587.52
CUST000120,salaried,61666.666666666664,65795.336
CUST000121,salaried,98583.33333333333,103890.22
