customer_id,occupation_type,declared_monthly_income,estimated_monthly_income
CUST000001,salaried,99333.33333333333,93695.94
CUST000002,salaried,61833.333333333336,64479.977
CUST000003,salaried,91916.66666666667,93992.6
CUST000004,salaried,124500.0,125087.86
CUST000005,salaried,71750.0,67842.73
CUST000006,salaried,38333.333333333336,39510.977
CUST000007,salaried,68916.66666666667,72252.58
CUST000008,business_owner,66583.33333333333,82691.27
CUST000009,business_owner,36166.666666666664,74323.08
CUST000010,salaried,28916.666666666668,28396.102
CUST000011,salaried,106333.33333333333,110069.45
CUST000012,salaried,135500.0,132198.03
CUST000013,salaried,37000.0,37425.63
CUST000014,business_owner,48166.666666666664,43567.715
CUST000015,salaried,39250.0,43987.5
CUST000016,salaried,34000.0,36555.555
CUST000017,salaried,33833.333333333336,32090.348
CUST000018,salaried,73750.0,77766.74
CUST000019,self_employed,41166.666666666664,53561.49
CUST000020,self_employed,35833.333333333336,86196.8
CUST000021,salaried,26166.666666666668,25187.113
CUST000022,salaried,66416.66666666667,69433.414
CUST000023,business_owner,38250.0,43199.508
CUST000024,salaried,57000.0,56321.637
CUST000025,self_employed,6500.0,16634.744
CUST000026,business_owner,48250.0,65368.945
CUST000027,salaried,63583.333333333336,64045.51
CUST000028,business_owner,48916.666666666664,48806.2
CUST000029,salaried,25500.0,23935.748
CUST000030,self_employed,50666.666666666664,62834.6
CUST000031,salaried,32250.0,33696.254
CUST000032,salaried,79166.66666666667,79461.77
CUST000033,salaried,31750.0,30901.342
CUST000034,salaried,40000.0,40940.42
CUST000035,salaried,58916.666666666664,59765.19
CUST000036,salaried,89083.33333333333,93626.6
CUST000037,salaried,41916.666666666664,48880.45
CUST000038,salaried,75083.33333333333,74546.28
CUST000039,salaried,34250.0,34995.875
CUST000040,business_owner,15333.333333333334,37653.58
CUST000041,business_owner,63000.0,51923.47
CUST000042,salaried,93750.0,95345.93
CUST000043,salaried,59166.666666666664,57024.805
CUST000044,self_employed,118750.0,129569.78
CUST000045,self_employed,33166.666666666664,20773.16
CUST000046,salaried,43000.0,42359.51
CUST000047,self_employed,18500.0,15472.425
CUST000048,salaried,44750.0,40384.605
CUST000049,salaried,151583.33333333334,147221.92
CUST000050,self_employed,25583.333333333332,26694.834
CUST000051,self_employed,36916.666666666664,105016.97
CUST000052,self_employed,45083.333333333336,62857.445
CUST000053,salaried,52333.333333333336,54902.66
CUST000054,salaried,78250.0,87104.07
CUST000055,salaried,103333.33333333333,102445.195
CUST000056,salaried,77666.66666666667,80064.234
CUST000057,salaried,79000.0,74828.29
CUST000058,salaried,32333.333333333332,32560.215
CUST000059,salaried,66000.0,66270.97
CUST000060,self_employed,72083.33333333333,41609.977
CUST000061,salaried,28833.333333333332,28417.23
CUST000062,salaried,46916.666666666664,46758.684
CUST000063,self_employed,95916.66666666667,77150.32
CUST000064,salaried,63750.0,61016.188
CUST000065,business_owner,61583.333333333336,111885.88
CUST000066,salaried,51583.333333333336,59636.18
CUST000067,salaried,76500.0,75214.234
CUST000068,business_owner,36666.666666666664,56208.49
CUST000069,salaried,83166.66666666667,82629.15
CUST000070,self_employed,19416.666666666668,49000.766
CUST000071,self_employed,57333.333333333336,74740.97
CUST000072,salaried,62083.333333333336,61181.84
CUST000073,self_employed,76250.0,68745.3
CUST000074,business_owner,90583.33333333333,87687.54
CUST000075,business_owner,40000.0,42900.33
CUST000076,salaried,75833.33333333333,75454.87
CUST000077,salaried,64583.333333333336,65701.46
CUST000078,self_employed,18416.666666666668,20637.988
CUST000079,salaried,41083.333333333336,42389.605
CUST000080,salaried,103416.66666666667,107815.26
CUST000081,salaried,39666.666666666664,41993.09
CUST000082,salaried,52000.0,51627.484
CUST000083,salaried,39916.666666666664,39077.047
CUST000084,salaried,58583.333333333336,63586.71
CUST000085,salaried,46166.666666666664,47692.477
CUST000086,salaried,95750.0,93190.35
CUST000087,business_owner,52416.666666666664,43757.9
CUST000088,salaried,59083.333333333336,59372.547
CUST000089,salaried,50916.666666666664,52772.016
CUST000090,salaried,163916.66666666666,164627.84
